Year,Statistic,Name(s),Team(s),#,Date of Birth
1916,Home Runs,Wally Pipp,New York,12,02-17-1893  (Aquarius)
1916,On Base Percentage,Tris Speaker,Cleveland,.470,04-04-1888  (Aries)
1916,RBI,Del Pratt,St. Louis,103,01-10-1888  (Capricorn)
1916,Runs,Ty Cobb,Detroit,113,12-18-1886  (Sagittarius)
1916,Slugging Average,Tris Speaker,Cleveland,.502,04-04-1888  (Aries)
1916,Stolen Bases,Ty Cobb,Detroit,68,12-18-1886  (Sagittarius)
1916,Total Bases,Joe Jackson,Chicago,293,07-16-1887  (Cancer)
1916,Triples,Joe Jackson,Chicago,21,07-16-1887  (Cancer)
1917,Base on Balls,Jack Graney,Cleveland,94,06-10-1886  (Gemini)
1917,Batting Average,Ty Cobb,Detroit,.383,12-18-1886  (Sagittarius)
1917,Doubles,Ty Cobb,Detroit,44,12-18-1886  (Sagittarius)
1917,Hits,Ty Cobb,Detroit,225,12-18-1886  (Sagittarius)
1917,Home Runs,Wally Pipp,New York,9,02-17-1893  (Aquarius)
1917,On Base Percentage,Ty Cobb,Detroit,.444,12-18-1886  (Sagittarius)
1917,RBI,Bobby Veach,Detroit,103,06-29-1888  (Cancer)
1917,Runs,Donie Bush,Detroit,112,10-08-1887  (Libra)
1917,Slugging Average,Ty Cobb,Detroit,.570,12-18-1886  (Sagittarius)
1917,Stolen Bases,Ty Cobb,Detroit,55,12-18-1886  (Sagittarius)
1917,Total Bases,Ty Cobb,Detroit,335,12-18-1886  (Sagittarius)
1917,Triples,Ty Cobb,Detroit,24,12-18-1886  (Sagittarius)
1918,Base on Balls,Ray Chapman,Cleveland,84,01-15-1891  (Capricorn)
1918,Batting Average,Ty Cobb,Detroit,.382,12-18-1886  (Sagittarius)
1918,Doubles,Tris Speaker,Cleveland,33,04-04-1888  (Aries)
1918,Hits,George Burns,Philadelphia,178,01-31-1893  (Aquarius)
1918,Home Runs,Babe Ruth,Boston,11,02-06-1895  (Aquarius)
1918,On Base Percentage,Ty Cobb,Detroit,.440,12-18-1886  (Sagittarius)
1918,RBI,Bobby Veach,Detroit,78,06-29-1888  (Cancer)
1918,Runs,Ray Chapman,Cleveland,84,01-15-1891  (Capricorn)
1918,Slugging Average,Babe Ruth,Boston,.555,02-06-1895  (Aquarius)
1918,Stolen Bases,George Sisler,St. Louis,45,03-24-1893  (Aries)
1918,Total Bases,George Burns,Philadelphia,236,01-31-1893  (Aquarius)
1918,Triples,Ty Cobb,Detroit,14,12-18-1886  (Sagittarius)
1919,Base on Balls,Jack Graney,Cleveland,105,06-10-1886  (Gemini)
1919,Batting Average,Ty Cobb,Detroit,.384,12-18-1886  (Sagittarius)
1919,Doubles,BobbyVeach,Detroit,45,06-29-1888  (Cancer)
1919,Hits,Ty Cobb,Detroit,191,12-18-1886  (Sagittarius)
1919,Home Runs,Babe Ruth,Boston,29,02-06-1895  (Aquarius)
1919,On Base Percentage,Babe Ruth,Boston,.456,02-06-1895  (Aquarius)
1919,RBI,Babe Ruth,Boston,114,02-06-1895  (Aquarius)
1919,Runs,Babe Ruth,Boston,103,02-06-1895  (Aquarius)
1919,Slugging Average,Babe Ruth,Boston,.657,02-06-1895  (Aquarius)
1919,Stolen Bases,Eddie Collins,Chicago,33,05-02-1887  (Taurus)
1919,Total Bases,Babe Ruth,Boston,284,02-06-1895  (Aquarius)
1919,Triples,BobbyVeach,Detroit,17,06-29-1888  (Cancer)
1920,Base on Balls,Babe Ruth,New York,150,02-06-1895  (Aquarius)
1920,Batting Average,George Sisler,St. Louis,.407,03-24-1893  (Aries)
1920,Doubles,Tris Speaker,Cleveland,50,04-04-1888  (Aries)
1920,Hits,George Sisler,St. Louis,257,03-24-1893  (Aries)
1920,Home Runs,Babe Ruth,New York,54,02-06-1895  (Aquarius)
1920,On Base Percentage,Babe Ruth,New York,.532,02-06-1895  (Aquarius)
1920,RBI,Babe Ruth,New York,137,02-06-1895  (Aquarius)
1920,Runs,Babe Ruth,New York,158,02-06-1895  (Aquarius)
1920,Slugging Average,Babe Ruth,New York,.847,02-06-1895  (Aquarius)
1920,Stolen Bases,Sam Rice,Washington,63,02-20-1890  (Pisces)
1920,Total Bases,George Sisler,St. Louis,399,03-24-1893  (Aries)
1920,Triples,Joe Jackson,Chicago,20,07-16-1887  (Cancer)
1921,Base on Balls,Babe Ruth,New York,145,02-06-1895  (Aquarius)
1921,Batting Average,Harry Heilmann,Detroit,.394,08-03-1894  (Leo)
1921,Doubles,Tris Speaker,Cleveland,52,04-04-1888  (Aries)
1921,Hits,Harry Heilmann,Detroit,237,08-03-1894  (Leo)
1921,Home Runs,Babe Ruth,New York,59,02-06-1895  (Aquarius)
1921,On Base Percentage,Babe Ruth,New York,.512,02-06-1895  (Aquarius)
1921,RBI,Babe Ruth,New York,171,02-06-1895  (Aquarius)
1921,Runs,Babe Ruth,New York,177,02-06-1895  (Aquarius)
1921,Slugging Average,Babe Ruth,New York,.846,02-06-1895  (Aquarius)
1921,Stolen Bases,George Sisler,St. Louis,35,03-24-1893  (Aries)
1921,Total Bases,Babe Ruth,New York,457,02-06-1895  (Aquarius)
1921,Triples,Howie Shanks,Washington,18,07-21-1890  (Cancer)
1922,Base on Balls,Whitey Witt,New York,89,09-28-1895  (Libra)
1922,Batting Average,George Sisler,St. Louis,.420,03-24-1893  (Aries)
1922,Doubles,Tris Speaker,Cleveland,48,04-04-1888  (Aries)
1922,Hits,George Sisler,St. Louis,246,03-24-1893  (Aries)
1922,Home Runs,Ken Williams,St. Louis,39,06-28-1890  (Cancer)
1922,On Base Percentage,Tris Speaker,Cleveland,.474,04-04-1888  (Aries)
1922,RBI,Ken Williams,St. Louis,155,06-28-1890  (Cancer)
1922,Runs,George Sisler,St. Louis,134,03-24-1893  (Aries)
1922,Slugging Average,Babe Ruth,New York,.672,02-06-1895  (Aquarius)
1922,Stolen Bases,George Sisler,St. Louis,51,03-24-1893  (Aries)
1922,Total Bases,Ken Williams,St. Louis,367,06-28-1890  (Cancer)
1922,Triples,George Sisler,St. Louis,18,03-24-1893  (Aries)
1923,Base on Balls,Babe Ruth,New York,170,02-06-1895  (Aquarius)
1923,Batting Average,Harry Heilmann,Detroit,.403,08-03-1894  (Leo)
1923,Doubles,Tris Speaker,Cleveland,59,04-04-1888  (Aries)
1923,Hits,Charlie Jamieson,Cleveland,222,02-07-1893  (Aquarius)
1923,Home Runs,Babe Ruth,New York,41,02-06-1895  (Aquarius)
1923,On Base Percentage,Babe Ruth,New York,.545,02-06-1895  (Aquarius)
1923,RBI,Babe Ruth,New York,131,02-06-1895  (Aquarius)
1923,Runs,Babe Ruth,New York,151,02-06-1895  (Aquarius)
1923,Slugging Average,Babe Ruth,New York,.764,02-06-1895  (Aquarius)
1923,Stolen Bases,Eddie Collins,Chicago,48,05-02-1887  (Taurus)
1923,Total Bases,Babe Ruth,New York,399,02-06-1895  (Aquarius)
1923,Triples,Goose Goslin,Washington,18,10-16-1900  (Libra)
1924,Base on Balls,Babe Ruth,New York,142,02-06-1895  (Aquarius)
1924,Batting Average,Babe Ruth,New York,.378,02-06-1895  (Aquarius)
1924,Doubles,Harry Heilmann,Detroit,45,08-03-1894  (Leo)
1924,Hits,Sam Rice,Washington,216,02-20-1890  (Pisces)
1924,Home Runs,Babe Ruth,New York,46,02-06-1895  (Aquarius)
1924,On Base Percentage,Babe Ruth,New York,.513,02-06-1895  (Aquarius)
1924,RBI,Goose Goslin,Washington,129,10-16-1900  (Libra)
1924,Runs,Babe Ruth,New York,143,02-06-1895  (Aquarius)
1924,Slugging Average,Babe Ruth,New York,.739,02-06-1895  (Aquarius)
1924,Stolen Bases,Eddie Collins,Chicago,42,05-02-1887  (Taurus)
1924,Total Bases,Babe Ruth,New York,391,02-06-1895  (Aquarius)
1924,Triples,Wally Pipp,New York,19,02-17-1893  (Aquarius)
1925,Base on Balls,Willie Kamm,Chicago,90,02-02-1900  (Aquarius)
1925,Batting Average,Harry Heilmann,Detroit,.393,08-03-1894  (Leo)
1925,Doubles,Marty McManus,St. Louis,44,03-14-1900  (Pisces)
1925,Hits,Al Simmons,Philadelphia,253,05-22-1902  (Gemini)
1925,Home Runs,Bob Meusel,New York,33,07-19-1896  (Cancer)
1925,On Base Percentage,Tris Speaker,Cleveland,.479,04-04-1888  (Aries)
1925,RBI,Bob Meusel,New York,138,07-19-1896  (Cancer)
1925,Runs,Johnny Mostil,Chicago,135,06-01-1896  (Gemini)
1925,Slugging Average,Ken Williams,St. Louis,.613,06-28-1890  (Cancer)
1925,Stolen Bases,Johnny Mostil,Chicago,43,06-01-1896  (Gemini)
1925,Total Bases,Al Simmons,Philadelphia,392,05-22-1902  (Gemini)
1925,Triples,Goose Goslin,Washington,20,10-16-1900  (Libra)
1926,Base on Balls,Babe Ruth,New York,144,02-06-1895  (Aquarius)
1926,Batting Average,Heinie Manush,Detroit,.378,07-20-1901  (Cancer)
1926,Doubles,George Burns,Cleveland,64,01-31-1893  (Aquarius)
1926,Hits,Sam Rice,Washington,216,02-20-1890  (Pisces)
1926,Home Runs,Babe Ruth,New York,47,02-06-1895  (Aquarius)
1926,On Base Percentage,Babe Ruth,New York,.516,02-06-1895  (Aquarius)
1926,RBI,Babe Ruth,New York,146,02-06-1895  (Aquarius)
1926,Runs,Babe Ruth,New York,139,02-06-1895  (Aquarius)
1926,Slugging Average,Babe Ruth,New York,.737,02-06-1895  (Aquarius)
1926,Stolen Bases,Johnny Mostil,Chicago,35,06-01-1896  (Gemini)
1926,Total Bases,Babe Ruth,New York,365,02-06-1895  (Aquarius)
1926,Triples,Babe Ruth,New York,20,02-06-1895  (Aquarius)
1927,Base on Balls,Babe Ruth,New York,137,02-06-1895  (Aquarius)
1927,Batting Average,Harry Heilmann,Detroit,.398,08-03-1894  (Leo)
1927,Doubles,Lou Gehrig,New York,52,06-19-1903  (Gemini)
1927,Hits,Earle Combs,New York,231,05-14-1899  (Taurus)
1927,Home Runs,Babe Ruth,New York,60,02-06-1895  (Aquarius)
1927,On Base Percentage,Babe Ruth,New York,.486,02-06-1895  (Aquarius)
1927,RBI,Lou Gehrig,New York,175,06-19-1903  (Gemini)
1927,Runs,Babe Ruth,New York,158,02-06-1895  (Aquarius)
1927,Slugging Average,Babe Ruth,New York,.772,02-06-1895  (Aquarius)
1927,Stolen Bases,George Sisler,St. Louis,27,03-24-1893  (Aries)
1927,Total Bases,Lou Gehrig,New York,447,06-19-1903  (Gemini)
1927,Triples,Earle Combs,New York,23,05-14-1899  (Taurus)
1928,Base on Balls,Babe Ruth,New York,137,02-06-1895  (Aquarius)
1928,Batting Average,Goose Goslin,Washington,.379,10-16-1900  (Libra)
1928,Doubles,Lou Gehrig,New York,47,06-19-1903  (Gemini)
1928,Hits,Henie Manush,St. Louis,241,07-20-1901  (Cancer)
1928,Home Runs,Babe Ruth,New York,54,02-06-1895  (Aquarius)
1928,On Base Percentage,Lou Gehrig,New York,.467,06-19-1903  (Gemini)
1928,RBI,Lou Gehrig,New York,142,06-19-1903  (Gemini)
1928,Runs,Babe Ruth,New York,163,02-06-1895  (Aquarius)
1928,Slugging Average,Babe Ruth,New York,.709,02-06-1895  (Aquarius)
1928,Stolen Bases,Buddy Myer,Boston,30,03-16-1904  (Pisces)
1928,Total Bases,Babe Ruth,New York,380,02-06-1895  (Aquarius)
1928,Triples,Earle Combs,New York,21,05-14-1899  (Taurus)
1929,Base on Balls,Max Bishop,Philadelphia,128,09-05-1899  (Virgo)
1929,Batting Average,Lew Fonseca,Cleveland,.369,01-21-1899  (Aquarius)
1929,Doubles,Charlie Gehringer,Detroit,45,05-11-1903  (Taurus)
1929,Hits,Dale Alexander,Detroit,215,04-26-1903  (Taurus)
1929,Home Runs,Babe Ruth,New York,46,02-06-1895  (Aquarius)
1929,On Base Percentage,Jimmie Foxx,Philadelphia,.463,10-22-1907  (Libra)
1929,RBI,Al Simmons,Philadelphia,157,05-22-1902  (Gemini)
1929,Runs,Charlie Gehringer,Detroit,131,05-11-1903  (Taurus)
1929,Slugging Average,Babe Ruth,New York,.697,02-06-1895  (Aquarius)
1929,Stolen Bases,Charlie Gehringer,Detroit,27,05-11-1903  (Taurus)
1929,Total Bases,Al Simmons,Philadelphia,373,05-22-1902  (Gemini)
1929,Triples,Charlie Gehringer,Detroit,19,05-11-1903  (Taurus)
1930,Base on Balls,Babe Ruth,New York,136,02-06-1895  (Aquarius)
1930,Batting Average,Al Simmons,Philadelphia,.381,05-22-1902  (Gemini)
1930,Doubles,Johnny Hodapp,Cleveland,51,09-26-1905  (Libra)
1930,Hits,Johnny Hodapp,Cleveland,225,09-26-1905  (Libra)
1930,Home Runs,Babe Ruth,New York,49,02-06-1895  (Aquarius)
1930,On Base Percentage,Babe Ruth,New York,.493,02-06-1895  (Aquarius)
1930,RBI,Lou Gehrig,New York,174,06-19-1903  (Gemini)
1930,Runs,Al Simmons,Philadelphia,152,05-22-1902  (Gemini)
1930,Slugging Average,Babe Ruth,New York,.732,02-06-1895  (Aquarius)
1930,Stolen Bases,Marty McManus,Detroit,23,03-14-1900  (Pisces)
1930,Total Bases,Lou Gehrig,New York,419,06-19-1903  (Gemini)
1930,Triples,Earle Combs,New York,22,05-14-1899  (Taurus)
1931,Base on Balls,Babe Ruth,New York,128,02-06-1895  (Aquarius)
1931,Batting Average,Al Simmons,Philadelphia,.390,05-22-1902  (Gemini)
1931,Doubles,Earl Webb,Boston,67,09-17-1897  (Virgo)
