Year,Statistic,Name(s),Team(s),#,Date of Birth
1913,Winning Percentage,Walter Johnson,Washington,.837,11-06-1887  (Scorpio)
1913,Wins,Walter Johnson,Washington,36,11-06-1887  (Scorpio)
1914,Complete Games,Walter Johnson,Washington,33,11-06-1887  (Scorpio)
1914,ERA,Dutch Leonard,Boston,0.96,03-25-1909  (Aries)
1914,Games,Walter Johnson,Washington,51,11-06-1887  (Scorpio)
1914,Saves,Jack Bentley,Washington,4,03-08-1895  (Pisces)
1914,Shutouts,Walter Johnson,Washington,9,11-06-1887  (Scorpio)
1914,Strikeouts,Walter Johnson,Washington,225,11-06-1887  (Scorpio)
1914,Winning Percentage,Chief Bender,Philadelphia,.850,05-05-1884  (Taurus)
1914,Wins,Walter Johnson,Washington,28,11-06-1887  (Scorpio)
1915,Complete Games,Walter Johnson,Washington,35,11-06-1887  (Scorpio)
1915,ERA,Smoky Joe Wood,Boston,1.49,10-25-1889  (Scorpio)
1915,Games,Harry Coveleski,Detroit,50,04-23-1886  (Taurus)
1915,Saves,Carl Mays,Boston,7,11-12-1891  (Scorpio)
1915,Shutouts,Walter Johnson,Washington,7,11-06-1887  (Scorpio)
1915,Strikeouts,Walter Johnson,Washington,203,11-06-1887  (Scorpio)
1915,Winning Percentage,Smoky Joe Wood,Boston,.750,10-25-1889  (Scorpio)
1915,Wins,Walter Johnson,Washington,27,11-06-1887  (Scorpio)
1916,Complete Games,Walter Johnson,Washington,36,11-06-1887  (Scorpio)
1916,ERA,Babe Ruth,Boston,1.75,02-06-1895  (Aquarius)
1916,Games,Dave Davenport,St. Louis,59,02-20-1890  (Pisces)
1916,Saves,Bob Shawkey,New York,8,12-04-1890  (Sagittarius)
1916,Shutouts,Babe Ruth,Boston,9,02-06-1895  (Aquarius)
1916,Strikeouts,Walter Johnson,Washington,228,11-06-1887  (Scorpio)
1916,Winning Percentage,Nick Cullop,New York,.684,09-17-1887  (Virgo)
1916,Wins,Walter Johnson,Washington,25,11-06-1887  (Scorpio)
1917,Complete Games,Babe Ruth,Boston,35,02-06-1895  (Aquarius)
1917,ERA,Eddie Cicotte,Chicago,1.53,06-19-1884  (Gemini)
1917,Games,Dave Danforth,Chicago,50,03-07-1890  (Pisces)
1917,Saves,Dave Danforth,Chicago,9,03-07-1890  (Pisces)
1917,Shutouts,Stan Coveleski,Cleveland,9,07-13-1889  (Cancer)
1917,Strikeouts,Walter Johnson,Washington,188,11-06-1887  (Scorpio)
1917,Winning Percentage,Ed Klepfer,Cleveland,.778,03-17-1888  (Pisces)
1917,Wins,Eddie Cicotte,Chicago,28,06-19-1884  (Gemini)
1918,Complete Games,Carl Mays,Boston,30,11-12-1891  (Scorpio)
1918,ERA,Walter Johnson,Washington,1.27,11-06-1887  (Scorpio)
1918,Games,Jim Bagby,Cleveland,45,10-05-1889  (Libra)
1918,Saves,George Mogridge,New York,7,02-18-1889  (Aquarius)
1918,Shutouts,Walter Johnson,Washington,8,11-06-1887  (Scorpio)
1918,Strikeouts,Walter Johnson,Washington,162,11-06-1887  (Scorpio)
1918,Winning Percentage,Sam Jones,Boston,.762,07-26-1892  (Leo)
1918,Wins,Walter Johnson,Washington,23,11-06-1887  (Scorpio)
1919,Complete Games,Eddie Cicotte,Chicago,30,06-19-1884  (Gemini)
1919,ERA,Walter Johnson,Washington,1.49,11-06-1887  (Scorpio)
1919,Games,Jim Shaw,Washington,45,08-13-1893  (Leo)
1919,Saves,Allan Russell,New York,5,07-31-1893  (Leo)
1919,Shutouts,Walter Johnson,Washington,7,11-06-1887  (Scorpio)
1919,Strikeouts,Walter Johnson,Washington,147,11-06-1887  (Scorpio)
1919,Winning Percentage,Eddie Cicotte,Chicago,.806,06-19-1884  (Gemini)
1919,Wins,Eddie Cicotte,Chicago,29,06-19-1884  (Gemini)
1920,Complete Games,Jim Bagby,Cleveland,30,10-05-1889  (Libra)
1920,ERA,Bob Shawkey,New York,2.45,12-04-1890  (Sagittarius)
1920,Games,Jim Bagby,Cleveland,48,10-05-1889  (Libra)
1920,Saves,Dickie Kerr,Chicago,5,07-03-1893  (Cancer)
1920,Shutouts,Carl Mays,New York,6,11-12-1891  (Scorpio)
1920,Strikeouts,Stan Coveleski,Cleveland,133,07-13-1889  (Cancer)
1920,Winning Percentage,Jim Bagby,Cleveland,.721,10-05-1889  (Libra)
1920,Wins,Jim Bagby,Cleveland,31,10-05-1889  (Libra)
1921,Complete Games,Red Faber,Chicago,32,09-06-1888  (Virgo)
1921,ERA,Red Faber,Chicago,2.48,09-06-1888  (Virgo)
1921,Games,Carl Mays,New York,49,11-12-1891  (Scorpio)
1921,Saves,Carl Mays,New York,7,11-12-1891  (Scorpio)
1921,Shutouts,Sam Jones,Boston,5,07-26-1892  (Leo)
1921,Strikeouts,Walter Johnson,Washington,143,11-06-1887  (Scorpio)
1921,Winning Percentage,Carl Mays,New York,.750,11-12-1891  (Scorpio)
1921,Wins,Carl Mays,New York,27,11-12-1891  (Scorpio)
1922,Complete Games,Red Faber,Chicago,31,09-06-1888  (Virgo)
1922,ERA,Red Faber,Chicago,2.81,09-06-1888  (Virgo)
1922,Games,Eddie Rommel,Philadelphia,51,09-13-1897  (Virgo)
1922,Saves,Sam Jones,New York,8,07-26-1892  (Leo)
1922,Shutouts,George Uhle,Cleveland,5,09-18-1898  (Virgo)
1922,Strikeouts,Urban Shocker,St. Louis,149,08-22-1890  (Leo)
1922,Winning Percentage,Joe Bush,New York,.788,11-27-1892  (Sagittarius)
1922,Wins,Eddie Rommel,Philadelphia,27,09-13-1897  (Virgo)
1923,Complete Games,George Uhle,Cleveland,29,09-18-1898  (Virgo)
1923,ERA,Stan Coveleski,Cleveland,2.76,07-13-1889  (Cancer)
1923,Games,Eddie Rommel,Philadelphia,56,09-13-1897  (Virgo)
1923,Saves,Allan Russell,Washington,9,07-31-1893  (Leo)
1923,Shutouts,Stan Coveleski,Cleveland,5,07-13-1889  (Cancer)
1923,Strikeouts,Walter Johnson,Washington,130,11-06-1887  (Scorpio)
1923,Winning Percentage,Herb Pennock,New York,.760,02-10-1894  (Aquarius)
1923,Wins,George Uhle,Cleveland,26,09-18-1898  (Virgo)
1924,Complete Games,Sloppy Thurston,Chicago,28,06-02-1899  (Gemini)
1924,ERA,Walter Johnson,Washington,2.72,11-06-1887  (Scorpio)
1924,Games,Firpo Marberry,Washington,50,11-30-1898  (Sagittarius)
1924,Saves,Firpo Marberry,Washington,15,11-30-1898  (Sagittarius)
1924,Shutouts,Walter Johnson,Washington,6,11-06-1887  (Scorpio)
1924,Strikeouts,Walter Johnson,Washington,158,11-06-1887  (Scorpio)
1924,Winning Percentage,Walter Johnson,Washington,.767,11-06-1887  (Scorpio)
1924,Wins,Walter Johnson,Washington,23,11-06-1887  (Scorpio)
1925,Complete Games,Howard Ehmke,Boston,22,04-24-1894  (Taurus)
1925,ERA,Stan Coveleski,Washington,2.84,07-13-1889  (Cancer)
1925,Games,Firpo Marberry,Washington,55,11-30-1898  (Sagittarius)
1925,Saves,Firpo Marberry,Washington,15,11-30-1898  (Sagittarius)
1925,Shutouts,Ted Lyons,Chicago,5,12-28-1900  (Capricorn)
1925,Strikeouts,Lefty Grove,Philadelphia,116,03-06-1900  (Pisces)
1925,Winning Percentage,Stan Coveleski,Washington,.800,07-13-1889  (Cancer)
1925,Wins,Ted Lyons,Chicago,21,12-28-1900  (Capricorn)
1926,Complete Games,George Uhle,Cleveland,32,09-18-1898  (Virgo)
1926,ERA,Lefty Grove,Philadelphia,2.51,03-06-1900  (Pisces)
1926,Games,Firpo Marberry,Washington,64,11-30-1898  (Sagittarius)
1926,Saves,Firpo Marberry,Washington,22,11-30-1898  (Sagittarius)
1926,Shutouts,Ed Wells,Detroit,4,06-07-1900  (Gemini)
1926,Strikeouts,Lefty Grove,Philadelphia,194,03-06-1900  (Pisces)
1926,Winning Percentage,George Uhle,Cleveland,.711,09-18-1898  (Virgo)
1926,Wins,George Uhle,Cleveland,27,09-18-1898  (Virgo)
1927,Complete Games,Ted Lyons,Chicago,30,12-28-1900  (Capricorn)
1927,ERA,Wilcy Moore,New York,2.28,05-20-1897  (Taurus)
1927,Games,Garland Braxton,Washington,58,06-10-1900  (Gemini)
1927,Saves,Garland Braxton,Washington,13,06-10-1900  (Gemini)
1927,Shutouts,Hod Lisenbee,Washington,4,09-23-1898  (Virgo)
1927,Strikeouts,Lefty Grove,Philadelphia,174,03-06-1900  (Pisces)
1927,Winning Percentage,Waite Hoyt,New York,.759,09-09-1899  (Virgo)
1927,Wins,Waite Hoyt,New York,22,09-09-1899  (Virgo)
1928,Complete Games,Red Ruffing,Boston,25,05-03-1905  (Taurus)
1928,ERA,Garland Braxton,Washington,2.51,06-10-1900  (Gemini)
1928,Games,Firpo Marberry,Washington,48,11-30-1898  (Sagittarius)
1928,Saves,Waite Hoyt,New York,8,09-09-1899  (Virgo)
1928,Shutouts,Herb Pennock,New York,5,02-10-1894  (Aquarius)
1928,Strikeouts,Lefty Grove,Philadelphia,183,03-06-1900  (Pisces)
1928,Winning Percentage,Alvin Crowder,St. Louis,.808,01-11-1899  (Capricorn)
1928,Wins,Lefty Grove,Philadelphia,24,03-06-1900  (Pisces)
1929,Complete Games,Tommy Thomas,Chicago,24,12-23-1899  (Capricorn)
1929,ERA,Lefty Grove,Philadelphia,2.81,03-06-1900  (Pisces)
1929,Games,Firpo Marberry,Washington,49,11-30-1898  (Sagittarius)
1929,Saves,Firpo Marberry,Washington,11,11-30-1898  (Sagittarius)
1929,Shutouts,George Blaeholder,St. Louis,5,01-26-1904  (Aquarius)
1929,Strikeouts,Lefty Grove,Philadelphia,170,03-06-1900  (Pisces)
1929,Winning Percentage,Lefty Grove,Philadelphia,.769,03-06-1900  (Pisces)
1929,Wins,George Earnshaw,Philadelphia,24,02-15-1900  (Aquarius)
1930,Complete Games,Ted Lyons,Chicago,29,12-28-1900  (Capricorn)
1930,ERA,Lefty Grove,Philadelphia,2.54,03-06-1900  (Pisces)
1930,Games,Lefty Grove,Philadelphia,50,03-06-1900  (Pisces)
1930,Saves,Lefty Grove,Philadelphia,9,03-06-1900  (Pisces)
1930,Shutouts,Clint Brown,Cleveland,3,07-08-1903  (Cancer)
1930,Strikeouts,Lefty Grove,Philadelphia,209,03-06-1900  (Pisces)
1930,Winning Percentage,Lefty Grove,Philadelphia,.848,03-06-1900  (Pisces)
1930,Wins,Lefty Grove,Philadelphia,28,03-06-1900  (Pisces)
1931,Complete Games,Wes Ferrell,Cleveland,27,02-02-1908  (Aquarius)
1931,ERA,Lefty Grove,Philadelphia,2.06,03-06-1900  (Pisces)
1931,Games,Bump Hadley,Washington,55,07-05-1904  (Cancer)
1931,Saves,Wilcy Moore,Boston,10,05-20-1897  (Taurus)
1931,Shutouts,Lefty Grove,Philadelphia,4,03-06-1900  (Pisces)
1931,Strikeouts,Lefty Grove,Philadelphia,175,03-06-1900  (Pisces)
1931,Winning Percentage,Lefty Grove,Philadelphia,.886,03-06-1900  (Pisces)
1931,Wins,Lefty Grove,Philadelphia,31,03-06-1900  (Pisces)
1932,Complete Games,Lefty Grove,Philadelphia,27,03-06-1900  (Pisces)
1932,ERA,Lefty Grove,Philadelphia,2.84,03-06-1900  (Pisces)
1932,Games,Firpo Marberry,Washington,54,11-30-1898  (Sagittarius)
1932,Saves,Firpo Marberry,Washington,13,11-30-1898  (Sagittarius)
1932,Shutouts,Tommy Bridges,Detroit,4,12-28-1906  (Capricorn)
1932,Strikeouts,Red Ruffing,New York,190,05-03-1905  (Taurus)
1932,Winning Percentage,Johnny Allen,New York,.810,09-30-1904  (Libra)
1932,Wins,Alvin Crowder,Washington,26,01-11-1899  (Capricorn)
1933,Complete Games,Lefty Grove,Philadelphia,21,03-06-1900  (Pisces)
1933,ERA,Monte Pearson,Cleveland,2.33,09-02-1908  (Virgo)
1933,Games,Alvin Crowder,Washington,52,01-11-1899  (Capricorn)
1933,Saves,Jack Russell,Washington,13,10-24-1905  (Scorpio)
1933,Shutouts,Oral Hildebrand,Cleveland,6,04-07-1907  (Aries)
1933,Strikeouts,Lefty Gomez,New York,163,11-26-1908  (Sagittarius)
1933,Winning Percentage,Lefty Grove,Philadelphia,.750,03-06-1900  (Pisces)
1933,Wins,Lefty Grove,Philadelphia,24,03-06-1900  (Pisces)
1934,Complete Games,Lefty Gomez,New York,25,11-26-1908  (Sagittarius)
1934,ERA,Lefty Gomez,New York,2.33,11-26-1908  (Sagittarius)
1934,Games,Jack Russell,Washington,54,10-24-1905  (Scorpio)
1934,Saves,Jack Russell,Washington,7,10-24-1905  (Scorpio)
1934,Shutouts,Mel Harder,Cleveland,6,10-15-1909  (Libra)
1934,Strikeouts,Lefty Gomez,New York,158,11-26-1908  (Sagittarius)
1934,Winning Percentage,Lefty Gomez,New York,.839,11-26-1908  (Sagittarius)
1934,Wins,Lefty Gomez,New York,26,11-26-1908  (Sagittarius)
1935,Complete Games,Wes Ferrell,Boston,31,02-02-1908  (Aquarius)
1935,ERA,Lefty Grove,Boston,2.70,03-06-1900  (Pisces)
1935,Games,Russ Van Atta,New York,58,06-21-1906  (Gemini)
1935,Saves,Jack Knott,St. Louis,7,03-02-1907  (Pisces)
1935,Shutouts,Schoolboy Rowe,Detroit,6,01-11-1910  (Capricorn)
1935,Strikeouts,Tommy Bridges,Detroit,163,12-28-1906  (Capricorn)
1935,Winning Percentage,Elden Auker,Detroit,.720,09-21-1910  (Virgo)
1935,Wins,Wes Ferrell,Boston,25,02-02-1908  (Aquarius)
1936,Complete Games,Wes Ferrell,Boston,28,02-02-1908  (Aquarius)
1936,ERA,Lefty Grove,Philadelphia,2.81,03-06-1900  (Pisces)
1936,Games,Russ Van Atta,St. Louis,52,06-21-1906  (Gemini)
1936,Saves,Pat Malone,New York,9,09-25-1902  (Libra)
1936,Shutouts,Lefty Grove,Philadelphia,6,03-06-1900  (Pisces)
1936,Strikeouts,Tommy Bridges,Detroit,175,12-28-1906  (Capricorn)
1936,Winning Percentage,Bump Hadley,New York,.778,07-05-1904  (Cancer)
1936,Wins,Tommy Bridges,Detroit,23,12-28-1906  (Capricorn)
1937,Complete Games,Wes Ferrell,Boston,26,02-02-1908  (Aquarius)
1937,ERA,Lefty Gomez,New York,2.33,11-26-1908  (Sagittarius)
1937,Games,Clint Brown,Chicago,53,07-08-1903  (Cancer)
1937,Saves,Clint Brown,Chicago,18,07-08-1903  (Cancer)
1937,Shutouts,Lefty Gomez,New York,6,11-26-1908  (Sagittarius)
1937,Strikeouts,Lefty Gomez,New York,194,11-26-1908  (Sagittarius)
1937,Winning Percentage,Johnny Allen,Cleveland,.938,09-30-1904  (Libra)
1937,Wins,Lefty Gomez,New York,21,11-26-1908  (Sagittarius)
1938,Complete Games,Bobo Newsom,St. Louis,31,08-11-1907  (Leo)
1938,ERA,Lefty Grove,Boston,3.08,03-06-1900  (Pisces)
1938,Games,Johnny Humphries,Cleveland,45,06-23-1915  (Cancer)
1938,Saves,Johnny Murphy,New York,11,07-14-1908  (Cancer)
1938,Shutouts,Lefty Gomez,New York,4,11-26-1908  (Sagittarius)
1938,Strikeouts,Bob Feller,Cleveland,240,11-03-1918  (Scorpio)
1938,Winning Percentage,Red Ruffing,New York,.750,05-03-1905  (Taurus)
1938,Wins,Red Ruffing,New York,21,05-03-1905  (Taurus)
1939,Complete Games,Bobo Newsom,St. Louis,24,08-11-1907  (Leo)
1939,ERA,Lefty Grove,Boston,2.54,03-06-1900  (Pisces)
1939,Games,Clint Brown,Chicago,61,07-08-1903  (Cancer)
1939,Saves,Johnny Murphy,New York,19,07-14-1908  (Cancer)
1939,Shutouts,Red Ruffing,New York,5,05-03-1905  (Taurus)
1939,Strikeouts,Bob Feller,Cleveland,246,11-03-1918  (Scorpio)
1939,Winning Percentage,Lefty Grove,Boston,.789,03-06-1900  (Pisces)
1939,Wins,Bob Feller,Cleveland,24,11-03-1918  (Scorpio)
1940,Complete Games,Bob Feller,Cleveland,31,11-03-1918  (Scorpio)
1940,ERA,Bob Feller,Cleveland,2.61,11-03-1918  (Scorpio)
1940,Games,Bob Feller,Cleveland,43,11-03-1918  (Scorpio)
1940,Saves,Al Benton,Detroit,17,03-18-1911  (Pisces)
1940,Shutouts,Bob Feller,Cleveland,4,11-03-1918  (Scorpio)
1940,Strikeouts,Bob Feller,Cleveland,261,11-03-1918  (Scorpio)
1940,Winning Percentage,Schoolboy Rowe,Detroit,.842,01-11-1910  (Capricorn)
1940,Wins,Bob Feller,Cleveland,27,11-03-1918  (Scorpio)
1941,Complete Games,Thornton Lee,Chicago,30,09-13-1906  (Virgo)
1941,ERA,Thornton Lee,Chicago,2.37,09-13-1906  (Virgo)
1941,Games,Bob Feller,Cleveland,44,11-03-1918  (Scorpio)
1941,Saves,Johnny Murphy,New York,15,07-14-1908  (Cancer)
1941,Shutouts,Bob Feller,Cleveland,6,11-03-1918  (Scorpio)
1941,Strikeouts,Bob Feller,Cleveland,260,11-03-1918  (Scorpio)
1941,Winning Percentage,Lefty Gomez,New York,.750,11-26-1908  (Sagittarius)
1941,Wins,Bob Feller,Cleveland,25,11-03-1918  (Scorpio)
1942,Complete Games,Tiny Bonham,New York,22,08-16-1913  (Leo)
1942,ERA,Ted Lyons,Chicago,2.10,12-28-1900  (Capricorn)
1942,Games,Joe Haynes,Chicago,40,09-21-1917  (Virgo)
1942,Saves,Johnny Murphy,New York,11,07-14-1908  (Cancer)
1942,Shutouts,Tiny Bonham,New York,6,08-16-1913  (Leo)
1942,Strikeouts,Tex Hughson,Boston,113,02-09-1916  (Aquarius)
1942,Winning Percentage,Tiny Bonham,New York,.808,08-16-1913  (Leo)
1942,Wins,Tex Hughson,Boston,22,02-09-1916  (Aquarius)
1943,Complete Games,Spud Chandler,New York,20,09-12-1907  (Virgo)
1943,ERA,Spud Chandler,New York,1.64,09-12-1907  (Virgo)
1943,Games,Mace Brown,Boston,49,05-21-1909  (Taurus)
1943,Saves,Gordon Maltzberger,Chicago,14,09-04-1912  (Virgo)
1943,Shutouts,Spud Chandler,New York,5,09-12-1907  (Virgo)
1943,Strikeouts,Allie Reynolds,Cleveland,151,02-10-1917  (Aquarius)
1943,Winning Percentage,Spud Chandler,New York,.833,09-12-1907  (Virgo)
1943,Wins,Spud Chandler,New York,20,09-12-1907  (Virgo)
1944,Complete Games,Dizzy Trout,Detroit,33,06-29-1915  (Cancer)
1944,ERA,Dizzy Trout,Detroit,2.12,06-29-1915  (Cancer)
1944,Games,Joe Heving,Cleveland,63,09-02-1900  (Virgo)
1944,Saves,Joe Berry,Philadelphia,12,12-16-1904  (Sagittarius)
1944,Shutouts,Dizzy Trout,Detroit,7,06-29-1915  (Cancer)
1944,Strikeouts,Hal Newhouser,Detroit,187,05-20-1921  (Taurus)
1944,Winning Percentage,Tex Hughson,Boston,.783,02-09-1916  (Aquarius)
1944,Wins,Hal Newhouser,Detroit,29,05-20-1921  (Taurus)
1945,Complete Games,Hal Newhouser,Detroit,29,05-20-1921  (Taurus)
1945,ERA,Hal Newhouser,Detroit,1.81,05-20-1921  (Taurus)
1945,Games,Joe Berry,Philadelphia,52,12-16-1904  (Sagittarius)
1945,Saves,Jim Turner,New York,10,08-06-1903  (Leo)
1945,Shutouts,Hal Newhouser,Detroit,8,05-20-1921  (Taurus)
1945,Strikeouts,Hal Newhouser,Detroit,212,05-20-1921  (Taurus)
1945,Winning Percentage,Hal Newhouser,Detroit,.735,05-20-1921  (Taurus)
1945,Wins,Hal Newhouser,Detroit,25,05-20-1921  (Taurus)
1946,Complete Games,Bob Feller,Cleveland,36,11-03-1918  (Scorpio)
1946,ERA,Hal Newhouser,Detroit,1.94,05-20-1921  (Taurus)
1946,Games,Bob Feller,Cleveland,48,11-03-1918  (Scorpio)
1946,Saves,Bob Klinger,Boston,9,06-04-1908  (Gemini)
1946,Shutouts,Bob Feller,Cleveland,10,11-03-1918  (Scorpio)
1946,Strikeouts,Bob Feller,Cleveland,348,11-03-1918  (Scorpio)
1946,Winning Percentage,Dave Ferriss,Boston,.806,12-05-1921  (Sagittarius)
1946,Wins,Bob Feller,Cleveland,26,11-03-1918  (Scorpio)
